CompoundName,ModelID,EC50,LowerAsymptote,UpperAsymptote,Slope,MinimumDose,MaximumDose,DoseUnit
CIL55,ACH-000752,0.0024901135546022747,0.9392173622666684,1.00596671548419,-13.693353184729904,3e-4,10,uM
CIL55,ACH-000753,8.523117180661668,4.432488902757323e-4,1.0099990812990571,-2.5928473243888384,3e-4,10,uM
CIL55,ACH-000762,0.0029143669801130483,1.008996321481904,1.0099999948772913,-3.6554794261028167,3e-4,10,uM
CIL55,ACH-000763,11.880513787554726,0,0.982668030153422,-1.6792526485508643,3e-4,5,uM
CIL55,ACH-000767,7.578678821724148,0,0.9551779152528802,-2.849749097538055,3e-4,10,uM
CIL55,ACH-000776,0.006269199276287204,0.9050146040741796,0.9985061491619664,-24.101296041666032,3e-4,10,uM
CIL55,ACH-000778,9.391846962438139,0.08061972779825524,0.9853688298536204,-8.15073390868881,3e-4,10,uM
CIL55,ACH-000781,0.009811294586710649,0.959423493951383,1.01,-17.27355207199975,3e-4,5,uM
CIL55,ACH-000783,9.848845980276199,0,1.01,-17.71095112613129,3e-4,10,uM
CIL55,ACH-000784,262.63331285872056,0,1.01,-0.426986162274347,3e-4,5,uM
CIL55,ACH-000785,0.05636271319410522,0.9265906478244482,0.9974858647746512,-3.487999539056223,3e-4,5,uM
CIL55,ACH-000787,3.0101603802675214,0.7547448704408297,0.9579423636087764,-9.733431809344436,3e-4,5,uM
CIL55,ACH-000790,7.722542733807838,0,0.9978183382881222,-5.624668860264407,3e-4,10,uM
CIL55,ACH-000791,19.444258549107474,0,0.98746547503812,-2.491291980627757,3e-4,10,uM
CIL55,ACH-000792,11.645294407269558,0.04126955807688876,1.009999951447883,-6.269926760152929,3e-4,10,uM
CIL55,ACH-000801,0.07269123167601131,0.9729318403588312,1.01,-21.22505460466348,3e-4,5,uM
CIL55,ACH-000802,8.565446807464275,0.026818290424730856,1.01,-30.49401931133829,3e-4,10,uM
CIL55,ACH-000804,0.0034535421125652917,0.951937384134098,1.0099999977163927,-20.678477969056303,3e-4,10,uM
CIL55,ACH-000806,8.039853946905197,7.08802963583926e-5,0.9717287127526576,-3.075794615457674,3e-4,10,uM
CIL55,ACH-000807,11.965171753332184,0,1.01,-4.700046196422147,3e-4,10,uM
CIL55,ACH-000810,9.61765632708868,0,1.01,-3.8208620516264418,3e-4,10,uM
CIL55,ACH-000811,14.034720686121261,0.3912099844257815,0.9496464417928177,-1.481004709878676,3e-4,10,uM
CIL55,ACH-000815,6.779681416281391,0,0.9883892980447164,-3.15789421589709,3e-4,10,uM
CIL55,ACH-000819,7.757844275629353,1.846364623268312e-4,1.0099999999415583,-12.913170117833133,3e-4,10,uM
CIL55,ACH-000823,10.171039493218064,0,0.922114518572844,-23.27657956829733,3e-4,10,uM
CIL55,ACH-000826,8.001912540484035,5.759620659257367e-4,1.0099999992752298,-8.98076671037246,3e-4,10,uM
CIL55,ACH-000827,10.791895654029016,0.8064317350437558,1.01,-0.3813778179341308,3e-4,5,uM
CIL55,ACH-000836,9.77079402046975,0,1.01,-6.194198088342685,3e-4,10,uM
CIL55,ACH-000840,0.006491372800531198,0.9439292893527008,0.992480831233914,-23.38945852276758,3e-4,10,uM
CIL55,ACH-000843,0.0065916636862275516,0.8948725121750698,1.009999992748207,-28.32019135525045,3e-4,10,uM
