# MeSH tree C04 (Neoplasms) descriptor -> tree number. One row per pair;
# a descriptor may sit at several nodes. Source: NLM MeSH SPARQL endpoint,
# https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
D018236	C04.557.465.200
D018237	C04.557.465.330
D018238	C04.557.465.420
D018238	C04.557.475.395
D018239	C04.557.465.330.800
D018240	C04.557.465.510.350
D018241	C04.557.465.625.600.590.650
D018241	C04.557.470.670.590.650
D018241	C04.557.580.625.600.590.650
D018242	C04.557.465.625.600.590
D018242	C04.557.470.670.590
D018242	C04.557.580.625.600.590
D018243	C04.557.465.900
D018245	C04.557.465.955.207.875
D018245	C04.557.470.200.025.455.875
D018245	C04.850.908.208.875
D018246	C04.588.322.078.265.500
D018248	C04.557.470.035.120
D018248	C04.588.274.623.040
D018249	C04.557.470.035.140
D018250	C04.557.470.035.175.125
D018250	C04.557.470.550.175.125
D018251	C04.557.470.035.175.375
D018251	C04.557.470.550.175.375
D018252	C04.557.470.035.175.800
D018252	C04.557.470.550.175.800
D018253	C04.557.470.035.185
D018254	C04.557.470.035.200
D018254	C04.557.470.660.200
D018255	C04.557.470.035.210
D018256	C04.557.470.035.215
D018261	C04.557.470.035.510.515
D018261	C04.557.470.660.510.515
D018262	C04.557.470.200.025.045
D018263	C04.557.470.200.025.060
D018265	C04.557.470.200.025.060.225
D018265	C04.557.470.200.025.085.225
D018266	C04.557.470.200.025.105
D018266	C04.557.470.550.105
D018267	C04.557.470.200.025.215
D018268	C04.557.470.200.025.152
D018268	C04.588.322.078.265.750
D018269	C04.557.470.200.025.240
D018269	C04.588.945.418.948.585.124
D018270	C04.557.470.200.025.232.500
D018270	C04.557.470.615.132.500
D018270	C04.588.180.390
D018273	C04.557.470.200.025.290
D018273	C04.588.274.761.500
D018273	C04.588.322.475.500
D018275	C04.557.470.200.025.305
D018275	C04.557.470.615.305
D018275	C04.588.180.437
D018276	C04.557.465.625.650.240.315
D018276	C04.557.470.200.025.370.315
D018276	C04.557.470.615.315
D018276	C04.557.580.625.650.240.315
D018277	C04.557.470.200.025.340
D018277	C04.557.470.590.340
D018278	C04.557.465.625.650.240
D018278	C04.557.470.200.025.370
D018278	C04.557.580.625.650.240
D018279	C04.557.470.200.025.415
D018279	C04.557.470.590.415
D018280	C04.557.470.200.025.420
D018280	C04.557.470.550.420
D018281	C04.557.470.200.025.450
D018282	C04.557.470.200.025.480.225
D018282	C04.557.470.590.480.225
D018283	C04.557.470.200.025.480.230
D018283	C04.557.470.590.480.230
D018284	C04.557.470.200.025.480.240
D018284	C04.557.470.590.480.240
D018285	C04.557.470.200.025.450.500
D018286	C04.557.470.200.220
D018287	C04.557.470.200.260
D018288	C04.557.470.200.380
D018289	C04.557.470.200.450
D018289	C04.557.470.700.450
D018290	C04.557.470.200.240.250
D018291	C04.557.470.035.320.225
D018291	C04.557.470.590.485.225
D018292	C04.557.470.035.320.230
D018292	C04.557.470.590.485.230
D018293	C04.557.470.035.320.240
D018293	C04.557.470.590.485.240
D018294	C04.557.470.550
D018295	C04.557.470.565
D018296	C04.557.470.565.625
D018297	C04.557.470.590
D018298	C04.557.470.590.580
D018299	C04.557.470.615
D018300	C04.557.470.615.670
D018301	C04.557.470.660
D018302	C04.557.465.625.600
D018302	C04.557.470.670
D018302	C04.557.580.625.600
D018303	C04.557.465.625.600.380.350
D018303	C04.557.470.670.380.350
D018303	C04.557.580.625.600.380.350
D018304	C04.557.465.625.600.590.650.550.150
D018304	C04.557.470.670.590.650.550.150
D018304	C04.557.580.625.600.590.650.550.150
D018305	C04.557.465.625.600.590.650.550.300
D018305	C04.557.470.670.590.650.550.300
